data_year,province,track,school,major,city,school_level,batch,min_score,major_tags,notes,source_name,source_url
2025,吉林省,history,辽宁工程技术大学,普通类,阜新,公办本科,本科,472,"工科,工程,管理",吉林历史类最低分公开信息,辽宁工程技术大学招生网,https://zsjy.lntu.edu.cn/
2025,吉林省,history,贵州财经大学,金融学(中外合作办学),贵阳,公办本科/中外合作,本科,459,"财经,金融,中外合作",吉林历史类公开录取分数信息,贵州财经大学招生网,https://zs.gufe.edu.cn/
2025,吉林省,history,闽南科技学院,普通类,泉州,民办本科,本科,444,"民办,综合",吉林历史类最低分公开信息,闽南科技学院招生网,https://zsw.mku.edu.cn/
2025,吉林省,history,延边大学,普通类,延吉,211/双一流,本科,386,"综合,朝鲜语,医学",吉林历史类最低分公开信息,延边大学招生网,https://admission.ybu.edu.cn/
2025,吉林省,physics,辽宁工业大学,电子信息工程,锦州,公办本科/工科,本科,492,"电子信息,工科,通信,工程",2025年度吉林省录取分数公开信息,辽宁工业大学招生就业网,https://zjc.lnut.edu.cn/info/14270/185290.htm
2025,吉林省,physics,辽宁工业大学,电气工程及其自动化,锦州,公办本科/工科,本科,521,"电气,自动化,工程,就业",2025年度吉林省录取分数公开信息,辽宁工业大学招生就业网,https://zjc.lnut.edu.cn/info/14270/185290.htm
2025,吉林省,physics,东北石油大学,数据科学与大数据技术,大庆,公办本科/石油特色,本科,529,"数据,大数据,计算机,工程",2025年吉林省普通本科批录取公示,东北石油大学招生信息网,https://zsxxw.nepu.edu.cn/info/1164/8036.htm
2025,吉林省,physics,东北石油大学,电子科学与技术,大庆,公办本科/石油特色,本科,527,"电子,硬件,工科,信息",2025年吉林省普通本科批录取公示,东北石油大学招生信息网,https://zsxxw.nepu.edu.cn/info/1164/8036.htm
2025,吉林省,physics,东北石油大学,计算机科学与技术,大庆,公办本科/石油特色,本科,529,"计算机,软件,工程,就业",2025年吉林省普通本科批录取公示,东北石油大学招生信息网,https://zsxxw.nepu.edu.cn/info/1164/8036.htm
2025,吉林省,physics,东北石油大学,物联网工程,大庆,公办本科/石油特色,本科,521,"物联网,电子,计算机,工程",2025年吉林省普通本科批录取公示,东北石油大学招生信息网,https://zsxxw.nepu.edu.cn/info/1164/8036.htm
2025,吉林省,physics,长春职业技术大学,电气工程及自动化,长春,职业本科/公办,本科,431,"电气,自动化,职业本科,本地",2025年分省分专业录取分数统计表（本科）,长春职业技术大学招生信息网,https://zs.cvit.edu.cn/info/1022/2414.htm
2025,吉林省,physics,吉林财经大学,数据科学与大数据技术,长春,公办本科/财经,本科,495,"数据,大数据,财经数智,读研",吉林财经大学近年吉林专业录取分数公开PDF,吉林财经大学招生网,https://newzs.jlufe.edu.cn/__local/E/34/57/A69BD347C74DCB3AE476F40AC15_2319C38E_3D5F5.pdf
2025,吉林省,physics,吉林财经大学,信息管理与信息系统,长春,公办本科/财经,本科,491,"信息系统,数字化,管理信息,读研",吉林财经大学近年吉林专业录取分数公开PDF,吉林财经大学招生网,https://newzs.jlufe.edu.cn/__local/E/34/57/A69BD347C74DCB3AE476F40AC15_2319C38E_3D5F5.pdf
2025,吉林省,physics,华北水利水电大学,电气工程及其自动化,郑州,公办本科/电力水利,本科,552,"电气,电力,工程,就业",我校2025年吉林各专业录取分数表,华北水利水电大学招生办公室,https://www2.ncwu.edu.cn/zhaoshengwang/lntj/jls.htm
